name,beds,baths,price,sqft,$/sqft,address
Tempo S2,0,1,$1905.00,403,$4.73,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo S3,0,1,$1975.00,427,$4.63,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo S4,0,1,$1915.00,475,$4.03,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo S5,0,1,$2025.00,510,$3.97,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo A1,1,1,$2145.00,492,$4.36,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo B2,2,2,$1429.00,825,$1.73,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo B3,2,2,$1429.00,953,$1.50,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo C1 - Interior Loft,3,3,$1385.00,839,$1.65,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo C1 - Loft No Window A/C,3,3,$1435.00,839,$1.71,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo C2,3,3,$1339.00,1162,$1.15,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D10 - Private,4,4,$1239.00,1408,$0.88,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D10 - Large Closet,4,4,$1249.00,1408,$0.89,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D11,4,4,$1209.00,1454,$0.83,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D12 - Private,4,4,$1249.00,1478,$0.85,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D12 - Large Closet,4,4,$1259.00,1478,$0.85,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D13,4,4,$1309.00,1486,$0.88,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D14,4,4,$1329.00,1493,$0.89,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D1-Combo - Loft A/D,4,4,$1205.00,995,$1.21,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D1-Combo - Loft A/D Armoire,4,4,$1155.00,995,$1.16,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D1-Combo - Bed B/C,4,4,$1255.00,995,$1.26,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D1-Loft - Loft A/D,4,4,$1030.00,971,$1.06,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D1-Loft - Bed B/C,4,4,$1080.00,971,$1.11,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D1-Loft - Twin Loft Armoire,4,4,$980.00,971,$1.01,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D2-Combo - Loft A/D,4,4,$1150.00,1020,$1.13,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D2-Combo - Bed B/C,4,4,$1250.00,1020,$1.23,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D3 - Private,4,4,$1129.00,1267,$0.89,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D3 - Loft,4,4,$1129.00,1267,$0.89,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D4,4,4,$1219.00,1277,$0.95,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D5 - Private,4,4,$1185.00,1306,$0.91,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D5 - Large Closet A/D,4,4,$1195.00,1306,$0.92,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D6,4,4,$1239.00,1344,$0.92,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D7,4,4,$1230.00,1364,$0.90,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D8 - Private,4,4,$1149.00,1388,$0.83,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D8 - Large Closet,4,4,$1159.00,1388,$0.84,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo D9,4,4,$1099.00,1407,$0.78,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo E1,5,5,$1295.00,1540,$0.84,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo E2,5,5,$1299.00,1637,$0.79,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo E3 - Private,5,5,$1290.00,1727,$0.75,"8430 Baltimore Avenue, College Park, MD 20740"
Tempo E3 - Large Closet,5,5,$1300.00,1727,$0.75,"8430 Baltimore Avenue, College Park, MD 20740"
